,Variable,count,unique,top,freq,mean,std,min,25%,50%,75%,max,percent_empty
82,NANTI,2041,2,No,2029,,,,,,,,95.78975596674711
83,NPT41_PRIV,14639.0,,,,17451.84657421955,6842.350329343843,-22195.0,13391.0,17119.0,21362.0,56664.0,69.80217422695299
84,NPT41_PUB,6162.0,,,,9610.67624148004,3573.048138042684,-2533.0,7340.0,9486.5,11900.0,27383.0,87.28881737731295
85,NPT42_PRIV,13914.0,,,,18226.674069282737,6853.16114761293,-20304.0,14172.25,17811.5,22037.0,66743.0,71.29772881985271
86,NPT42_PUB,6138.0,,,,10966.211306614532,3569.1458813186414,-1955.0,8606.25,10918.5,13171.75,30038.0,87.33832539142273
87,NPT43_PRIV,13551.0,,,,20660.370747546305,6968.485374834951,-17804.0,16659.0,20284.0,24565.0,62000.0,72.0465375332632
88,NPT43_PUB,6122.0,,,,14107.016007840575,3668.885374149848,554.0,11617.5,14103.0,16344.75,32480.0,87.37133073416258
89,NPT44_PRIV,12625.0,,,,23746.634930693068,6741.454113400617,-18045.0,19819.0,23368.0,27463.0,64736.0,73.95672174433237
90,NPT44_PUB,6053.0,,,,16810.48174458946,4000.9803887615576,-59.0,14141.0,16825.0,19444.0,32589.0,87.51366627472822
91,NPT45_PRIV,11826.0,,,,27616.170979198378,8130.323041621592,335.0,22103.25,26567.0,32322.0,67916.0,75.60492604740392
92,NPT45_PUB,5862.0,,,,17918.86813374275,4497.892935332607,-17487.0,14889.25,17679.5,20729.75,35229.0,87.90766755368526
93,NPT4_048_PRIV,14817.0,,,,17739.828305324965,6841.76924718872,-21431.0,13768.0,17389.0,21596.0,66743.0,69.43498978897209
94,NPT4_048_PUB,6165.0,,,,10101.261638280617,3539.3006442587734,-2404.0,7844.0,10023.0,12309.0,28445.0,87.28262887554922
95,NPT4_3075_PRIV,14268.0,,,,19511.949957947854,6916.748805411965,-19465.0,15577.0,19175.0,23333.25,66743.0,70.5674856117334
96,NPT4_3075_PUB,6145.0,,,,12578.886086248984,3639.68891082128,-1088.0,10190.0,12619.0,14813.0,31195.0,87.32388555397405
97,NPT4_75UP_PRIV,12891.0,,,,25753.492436583663,7812.534805066335,-18045.0,20824.5,25138.0,30485.5,66326.0,73.40800792128226
98,NPT4_75UP_PUB,6063.0,,,,17314.298037275275,4317.5486126016685,-3329.0,14382.5,17208.0,20132.5,34308.0,87.49303793551582
99,NPT4_PRIV,14936.0,,,,21263.119576861274,7524.605755127601,-20756.0,16854.0,21025.0,25694.25,66743.0,69.18951255234441
100,NPT4_PUB,6167.0,,,,13260.640019458408,4235.215673643727,-1749.0,10493.0,13333.0,15901.0,30996.0,87.27850320770675
101,NUMBRANCH,48477.0,,,,3.5224539472327083,10.781316879115268,1.0,1.0,1.0,1.0,142.0,0.0
102,OVERALL_YR2_N,41502,5271,12,100,,,,,,,,14.388266600655985
103,OVERALL_YR3_N,39587,4996,11,94,,,,,,,,18.338593559832496
104,OVERALL_YR4_N,37654,4918,11,89,,,,,,,,22.32605152959135
105,OVERALL_YR6_N,33704,4615,11,85,,,,,,,,30.474245518493305
106,OVERALL_YR8_N,29657,4382,11,81,,,,,,,,38.82253439775564
107,PBI,2041,2,No,2025,,,,,,,,95.78975596674711
108,PCIP01,48388.0,,,,0.004536168058196251,0.02349721282022186,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
109,PCIP03,48388.0,,,,0.005892407208398771,0.025741463516698346,0.0,0.0,0.0,0.0018,0.9158,0.1835922189904471
110,PCIP04,48388.0,,,,0.004447325783252042,0.04195440906744612,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
111,PCIP05,48388.0,,,,0.0032699966933950582,0.015077156280922292,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
112,PCIP09,48388.0,,,,0.02913583119781784,0.039892487930141,0.0,0.0,0.0114,0.0493,0.7,0.1835922189904471
113,PCIP10,48388.0,,,,0.003481613209886751,0.03084179345624861,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
114,PCIP11,48388.0,,,,0.031414406464412396,0.07176676146140876,0.0,0.0,0.0123,0.0313,1.0,0.1835922189904471
115,PCIP12,48388.0,,,,0.0026758452508886515,0.028342312954622882,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
116,PCIP13,48388.0,,,,0.06827688063156163,0.09608326058779511,0.0,0.0,0.0317,0.1078,1.0,0.1835922189904471
117,PCIP14,48388.0,,,,0.02499297553112328,0.08633654053648929,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
118,PCIP15,48388.0,,,,0.008882441927750694,0.03865704785317917,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
119,PCIP16,48388.0,,,,0.007849526742167483,0.01678083379618968,0.0,0.0,0.0,0.0099,1.0,0.1835922189904471
120,PCIP19,48388.0,,,,0.00697663470281886,0.028471015523343537,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
121,PCIP22,48388.0,,,,0.0033691018434322518,0.0283709282652435,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
122,PCIP23,48388.0,,,,0.024797267917665768,0.03201602460166001,0.0,0.0,0.0159,0.037,0.7,0.1835922189904471
123,PCIP24,48388.0,,,,0.03906755393899336,0.11040051175624918,0.0,0.0,0.0,0.0318,1.0,0.1835922189904471
124,PCIP25,48388.0,,,,3.9952054228321066e-05,0.0009671253732394724,0.0,0.0,0.0,0.0,0.0718,0.1835922189904471
125,PCIP26,48388.0,,,,0.04344056997602692,0.070192945828326,0.0,0.0,0.0298,0.0621,1.0,0.1835922189904471
126,PCIP27,48388.0,,,,0.008262405968421904,0.012310195561576524,0.0,0.0,0.0044,0.0121,0.5,0.1835922189904471
127,PCIP29,48388.0,,,,0.0001099900801851699,0.003571894855671614,0.0,0.0,0.0,0.0,0.2745,0.1835922189904471
128,PCIP30,48388.0,,,,0.018986707448127752,0.06149655499182556,0.0,0.0,0.0,0.0137,1.0,0.1835922189904471
129,PCIP31,48388.0,,,,0.015882937918492074,0.032819438906917936,0.0,0.0,0.0,0.0221,1.0,0.1835922189904471
130,PCIP38,48388.0,,,,0.01444475076465232,0.08174502314711984,0.0,0.0,0.0,0.007,1.0,0.1835922189904471
131,PCIP39,48388.0,,,,0.06824953707530824,0.22997659497795905,0.0,0.0,0.0,0.0,1.0,0.1835922189904471
132,PCIP40,48388.0,,,,0.011310543936513208,0.019280226732011074,0.0,0.0,0.0039,0.0155,0.3502,0.1835922189904471
133,PCIP41,48388.0,,,,0.0002466045300487724,0.00540183851143366,0.0,0.0,0.0,0.0,0.5591,0.1835922189904471
134,PCIP42,48388.0,,,,0.05314948747623355,0.07574594276826885,0.0,0.0,0.0433,0.0756,1.0,0.1835922189904471
135,PCIP43,48388.0,,,,0.024818605852690783,0.05629616020930095,0.0,0.0,0.0,0.0315,1.0,0.1835922189904471
136,PCIP44,48388.0,,,,0.015841130032239345,0.042641353848488474,0.0,0.0,0.0,0.0192,1.0,0.1835922189904471
137,PCIP45,48388.0,,,,0.053124931801272965,0.0766926941098495,0.0,0.0,0.0263,0.0763,1.0,0.1835922189904471
138,PCIP46,48388.0,,,,0.00014847896172604785,0.0028348441825055046,0.0,0.0,0.0,0.0,0.4,0.1835922189904471
139,PCIP47,48388.0,,,,0.0006340394312639488,0.008846517658979992,0.0,0.0,0.0,0.0,0.7301,0.1835922189904471
140,PCIP48,48388.0,,,,0.00018866454492849472,0.003215274901835934,0.0,0.0,0.0,0.0,0.2059,0.1835922189904471
141,PCIP49,48388.0,,,,0.002686953376870295,0.030046433349367473,0.0,0.0,0.0,0.0,0.8733,0.1835922189904471
142,PCIP50,48388.0,,,,0.06635368686451175,0.16906979005900377,0.0,0.0,0.0226,0.0538,1.0,0.1835922189904471
143,PCIP51,48388.0,,,,0.10586813466148623,0.20063016974736397,0.0,0.0,0.0275,0.12,1.0,0.1835922189904471
144,PCIP52,48388.0,,,,0.20390849590807592,0.1980717140825289,0.0,0.0655,0.1734,0.2641,1.0,0.1835922189904471
145,PCIP54,48388.0,,,,0.0150124121683061,0.020404856951836248,0.0,0.0,0.0087,0.0224,0.2609,0.1835922189904471
146,PCT25_EARN_WNE_P10,12889,2147,27500,155,,,,,,,,73.41213358912474
